Date,ATM_ID,Location_Type,Is_Weekend,Is_Payday,Is_Festival,Withdrawals,Deposits,W_100,W_500,W_2000,D_100,D_500,D_2000,Health,Revenue,Cost,Net_Cash_Flow,Net_Flow_Lag_7,Net_Flow_Rolling_3
2024-01-01,0,Market,0,1,0,587815,473363,1763,705,29,946,710,11,97.00670757901482,3865,649,-114452,0.0,0.0
2024-01-02,0,Market,0,1,0,546887,468761,1640,656,27,937,703,11,95.66911927112533,3655,716,-78126,0.0,0.0
2024-01-03,0,Market,0,1,0,648435,516836,1945,778,32,1033,775,12,95.15045073919003,4255,742,-131599,0.0,-108059.0
2024-01-04,0,Market,0,1,0,533709,506042,1601,640,26,1012,759,12,99.08297745073283,3660,545,-27667,0.0,-79130.66666666667
2024-01-05,0,Market,0,1,0,573549,388162,1720,688,28,776,582,9,98.5438542990098,3620,572,-185387,0.0,-114884.33333333333
2024-01-06,0,Market,1,0,0,431384,495083,1294,517,21,990,742,12,98.16819078353154,3140,591,63699,0.0,-49785.0
2024-01-07,0,Market,1,0,0,550351,469162,1651,660,27,938,703,11,97.42882780793194,3680,628,-81189,0.0,-67625.66666666667
2024-01-08,0,Market,0,0,0,378224,485324,1134,453,18,970,727,12,99.14737938156354,2845,542,107100,-114452.0,29870.0
2024-01-09,0,Market,0,0,0,375974,465998,1127,451,18,931,698,11,97.799237531302,2805,610,90024,-78126.0,38645.0
2024-01-10,0,Market,0,0,0,399460,429229,1198,479,19,858,643,10,95.45339798960609,2825,727,29769,-131599.0,75631.0
2024-01-11,0,Market,0,0,0,432901,421399,1298,519,21,842,632,10,97.39965989411094,2990,630,-11502,-27667.0,36097.0
2024-01-12,0,Market,0,0,0,346872,489449,1040,416,17,978,734,12,96.12433588319443,2695,693,142577,-185387.0,53614.666666666664
2024-01-13,0,Market,1,0,0,515446,488225,1546,618,25,976,732,12,99.02008568790427,3545,548,-27221,63699.0,34618.0
2024-01-14,0,Market,1,0,0,474448,465547,1423,569,23,931,698,11,98.64325484113053,3280,567,-8901,-81189.0,35485.0
2024-01-15,0,Market,0,0,0,381574,530741,1144,457,19,1061,796,13,97.28651958420876,2960,635,149167,107100.0,37681.666666666664
2024-01-16,0,Market,0,0,0,412963,461516,1238,495,20,923,692,11,95.06556531699741,2970,746,48553,90024.0,62939.666666666664
2024-01-17,0,Market,0,0,0,372923,509360,1118,447,18,1018,764,12,95.92269285772583,2860,703,136437,29769.0,111385.66666666667
2024-01-18,0,Market,0,0,0,441239,524701,1323,529,22,1049,787,13,99.62977674132955,3240,518,83462,-11502.0,89484.0
2024-01-19,0,Market,0,0,0,366431,465157,1099,439,18,930,697,11,96.88350936586221,2755,655,98726,142577.0,106208.33333333333
2024-01-20,0,Market,1,0,0,456999,471088,1370,548,22,942,706,11,98.37408338986627,3215,581,14089,-27221.0,65425.666666666664
2024-01-21,0,Market,1,0,0,519001,545099,1557,622,25,1090,817,13,97.63892537419025,3665,618,26098,-8901.0,46304.333333333336
2024-01-22,0,Market,0,0,0,414465,449034,1243,497,20,898,673,11,97.19361401215252,2940,640,34569,149167.0,24918.666666666668
2024-01-23,0,Market,0,0,0,398566,555102,1195,478,19,1110,832,13,97.86229490820725,3085,606,156536,48553.0,72401.0
2024-01-24,0,Market,0,0,0,403481,465647,1210,484,20,931,698,11,97.45714654417648,2930,627,62166,136437.0,84423.66666666667
2024-01-25,0,Market,0,0,0,391213,497141,1173,469,19,994,745,12,96.22224430728475,2940,688,105928,83462.0,108210.0
2024-01-26,0,Market,0,0,0,367660,455915,1102,441,18,911,683,11,95.95939810217791,2735,702,88255,98726.0,85449.66666666667
2024-01-27,0,Market,1,0,0,523939,495780,1571,628,26,991,743,12,99.06714970556982,3590,546,-28159,14089.0,55341.333333333336
2024-01-28,0,Market,1,0,0,484659,526494,1453,581,24,1052,789,13,95.51954350038254,3450,724,41835,26098.0,33977.0
2024-01-29,0,Market,0,0,0,371917,464272,1115,446,18,928,696,11,97.86446105686872,2770,606,92355,34569.0,35343.666666666664
2024-01-30,0,Market,0,1,0,576582,492530,1729,691,28,985,738,12,97.44626348711218,3855,627,-84052,156536.0,16712.666666666668
2024-01-31,0,Market,0,1,0,480739,459809,1442,576,24,919,689,11,98.31192414298187,3310,584,-20930,62166.0,-4209.0
2024-02-01,0,Market,0,1,0,550968,499394,1652,661,27,998,749,12,96.48490520552411,3740,675,-51574,105928.0,-52185.333333333336
2024-02-02,0,Market,0,1,0,574422,476426,1723,689,28,952,714,11,98.74108852087318,3800,562,-97996,88255.0,-56833.333333333336
2024-02-03,0,Market,1,1,0,543058,478727,1629,651,27,957,718,11,99.81556526322734,3650,509,-64331,-28159.0,-71300.33333333333
2024-02-04,0,Market,1,1,0,676047,598235,2028,811,33,1196,897,14,98.60676767881694,4565,569,-77812,41835.0,-80046.33333333333
2024-02-05,0,Market,0,1,0,549227,494474,1647,659,27,988,741,12,97.55273619861218,3705,622,-54753,92355.0,-65632.0
2024-02-06,0,Market,0,0,0,445712,516092,1337,534,22,1032,774,12,96.3589182569407,3255,682,70380,-84052.0,-20728.333333333332
2024-02-07,0,Market,0,0,0,456111,412711,1368,547,22,825,619,10,97.32112657962621,3095,633,-43400,-20930.0,-9257.666666666666
2024-02-08,0,Market,0,0,0,360378,452817,1081,432,18,905,679,11,97.04553528405879,2700,647,92439,-51574.0,39806.333333333336
2024-02-09,0,Market,0,0,0,337973,483291,1013,405,16,966,724,12,99.12816785497505,2635,543,145318,-97996.0,64785.666666666664
2024-02-10,0,Market,1,0,0,435867,554396,1307,523,21,1108,831,13,99.31239527927004,3275,534,118529,-64331.0,118762.0
2024-02-11,0,Market,1,0,0,442403,464541,1327,530,22,929,696,11,95.6133032330951,3120,719,22138,-77812.0,95328.33333333333
2024-02-12,0,Market,0,0,0,432540,420918,1297,519,21,841,631,10,97.22399594200269,2990,638,-11622,-54753.0,43015.0
2024-02-13,0,Market,0,0,0,335700,488862,1007,402,16,977,733,12,95.51392121023336,2645,724,153162,70380.0,54559.333333333336
2024-02-14,0,Market,0,0,0,410395,517527,1231,492,20,1035,776,12,98.2539521269367,3080,587,107132,-43400.0,82890.66666666667
2024-02-15,0,Market,0,0,0,420877,494255,1262,505,21,988,741,12,96.10062227071188,3080,694,73378,92439.0,111224.0
2024-02-16,0,Market,0,0,0,372799,491148,1118,447,18,982,736,12,95.5072290573646,2830,724,118349,145318.0,99619.66666666667
2024-02-17,0,Market,1,0,0,494067,445711,1482,592,24,891,668,11,99.1959597429125,3340,540,-48356,118529.0,47790.333333333336
2024-02-18,0,Market,1,0,0,569557,502743,1708,683,28,1005,754,12,98.87865345269721,3825,556,-66814,22138.0,1059.6666666666667
2024-02-19,0,Market,0,0,0,361012,517780,1083,433,18,1035,776,12,96.26754297440988,2830,686,156768,-11622.0,13866.0
2024-02-20,0,Market,0,0,0,438535,499813,1315,526,21,999,749,12,97.15845698332264,3165,642,61278,153162.0,50410.666666666664
2024-02-21,0,Market,0,0,0,390184,443820,1170,468,19,887,665,11,98.78005178310458,2830,560,53636,107132.0,90560.66666666667
2024-02-22,0,Market,0,0,0,396915,496375,1190,476,19,992,744,12,96.84430687001368,2965,657,99460,73378.0,71458.0
2024-02-23,0,Market,0,0,0,400520,549769,1201,480,20,1099,824,13,97.53741153090569,3090,623,149249,118349.0,100781.66666666667
2024-02-24,0,Market,1,0,0,510032,438856,1530,612,25,877,658,10,99.87842016784273,3420,506,-71176,-48356.0,59177.666666666664
2024-02-25,0,Market,1,0,0,428597,503158,1285,514,21,1006,754,12,95.23035711498706,3125,738,74561,-66814.0,50878.0
2024-02-26,0,Market,0,0,0,391061,514272,1173,469,19,1028,771,12,95.35840718706137,2970,732,123211,156768.0,42198.666666666664
2024-02-27,0,Market,0,0,0,418929,476504,1256,502,20,953,714,11,95.7349527226632,3025,713,57575,61278.0,85115.66666666667
2024-02-28,0,Market,0,0,0,366128,407287,1098,439,18,814,610,10,98.41538997421861,2635,579,41159,53636.0,73981.66666666667
2024-02-29,0,Market,0,0,0,408563,420204,1225,490,20,840,630,10,96.51985101662514,2865,674,11641,99460.0,36791.666666666664
2024-03-01,0,Market,0,1,0,510503,487378,1531,612,25,974,731,12,95.04973074947868,3520,747,-23125,149249.0,9891.666666666666
2024-03-02,0,Market,1,1,0,675911,425137,2027,811,33,850,637,10,96.29615691122898,4225,685,-250774,-71176.0,-87419.33333333333
2024-03-03,0,Market,1,1,0,744781,530582,2234,893,37,1061,795,13,98.53204077867753,4760,573,-214199,74561.0,-162699.33333333334
2024-03-04,0,Market,0,1,0,588841,504661,1766,706,29,1009,756,12,95.43379723721765,3925,728,-84180,123211.0,-183051.0
2024-03-05,0,Market,0,1,0,588842,664931,1766,706,29,1329,997,16,96.75018034611118,4245,662,76089,57575.0,-74096.66666666667
2024-03-06,0,Market,0,0,0,438160,511266,1314,525,21,1022,766,12,98.31002421574232,3195,584,73106,41159.0,21671.666666666668
2024-03-07,0,Market,0,0,0,369086,468632,1107,442,18,937,702,11,99.8202886310163,2755,508,99546,11641.0,82913.66666666667
2024-03-08,0,Market,0,0,0,492586,390371,1477,591,24,780,585,9,97.04583369715495,3230,647,-102215,-23125.0,23479.0
2024-03-09,0,Market,1,0,0,457347,532269,1372,548,22,1064,798,13,97.38878369972598,3335,630,74922,-250774.0,24084.333333333332
2024-03-10,0,Market,1,0,0,445665,512620,1336,534,22,1025,768,12,99.57326267503116,3245,521,66955,-214199.0,13220.666666666666
2024-03-11,0,Market,0,0,0,401822,448723,1205,482,20,897,673,11,96.81285049250897,2890,659,46901,-84180.0,62926.0
2024-03-12,0,Market,0,0,0,318994,488949,956,382,15,977,733,12,98.64583874368962,2545,567,169955,76089.0,94603.66666666667
2024-03-13,0,Market,0,0,0,368299,474492,1104,441,18,948,711,11,95.18675792661037,2765,740,106193,73106.0,107683.0
2024-03-14,0,Market,0,0,0,420199,521556,1260,504,21,1043,782,13,99.13352839964577,3140,543,101357,99546.0,125835.0
2024-03-15,0,Market,0,0,0,381002,448640,1143,457,19,897,672,11,96.42702038649969,2790,678,67638,-102215.0,91729.33333333333
2024-03-16,0,Market,1,0,0,419477,524057,1258,503,20,1048,786,13,96.31051541652116,3115,684,104580,74922.0,91191.66666666667
2024-03-17,0,Market,1,0,0,581863,529558,1745,698,29,1059,794,13,98.7613450524942,3950,561,-52305,66955.0,39971.0
2024-03-18,0,Market,0,0,0,450676,446031,1352,540,22,892,669,11,99.41963679746542,3140,529,-4645,46901.0,15876.666666666666
2024-03-19,0,Market,0,0,0,417752,517182,1253,501,20,1034,775,12,99.510829196745,3105,524,99430,169955.0,14160.0
2024-03-20,0,Market,0,0,0,270349,430829,811,324,13,861,646,10,97.83074175381013,2210,608,160480,106193.0,85088.33333333333
2024-03-21,0,Market,0,0,0,465296,411353,1395,558,23,822,617,10,99.77347995113978,3145,511,-53943,101357.0,68655.66666666667
2024-03-22,0,Market,0,0,0,457650,411078,1372,549,22,822,616,10,95.71755079405838,3095,714,-46572,67638.0,19988.333333333332
2024-03-23,0,Market,1,0,0,432887,502180,1298,519,21,1004,753,12,96.78790360896842,3150,660,69293,104580.0,-10407.333333333334
2024-03-24,0,Market,1,0,0,483350,461504,1450,580,24,923,692,11,97.12262911062061,3320,643,-21846,-52305.0,291.6666666666667
2024-03-25,0,Market,0,0,0,463440,420584,1390,556,23,841,630,10,97.27191605342033,3140,636,-42856,-4645.0,1530.3333333333333
2024-03-26,0,Market,0,0,0,393928,508239,1181,472,19,1016,762,12,95.47324679021968,2960,726,114311,99430.0,16536.333333333332
2024-03-27,0,Market,0,0,0,411239,450110,1233,493,20,900,675,11,98.4051218485312,2950,579,38871,160480.0,36775.333333333336
2024-03-28,0,Market,0,0,0,376425,520780,1129,451,18,1041,781,13,96.51631417317925,2915,674,144355,-53943.0,99179.0
2024-03-29,0,Market,0,0,0,435983,494750,1307,523,21,989,742,12,95.98259534807576,3155,700,58767,-46572.0,80664.33333333333
2024-03-30,0,Market,1,1,0,616291,453111,1848,739,30,906,679,11,95.96582630366368,3975,701,-163180,69293.0,13314.0
2024-03-31,0,Market,1,1,0,670595,485631,2011,804,33,971,728,12,96.11793519629002,4320,694,-184964,-21846.0,-96459.0
2024-04-01,0,Market,0,1,0,590637,470294,1771,708,29,940,705,11,97.85502986312491,3890,607,-120343,-42856.0,-156162.33333333334
2024-04-02,0,Market,0,1,0,606223,519048,1818,727,30,1038,778,12,95.48723546660217,4055,725,-87175,114311.0,-130827.33333333333
2024-04-03,0,Market,0,1,0,633106,481008,1899,759,31,962,721,12,95.522383857519,4110,723,-152098,38871.0,-119872.0
2024-04-04,0,Market,0,1,0,578153,473753,1734,693,28,947,710,11,97.13281055938357,3815,643,-104400,144355.0,-114557.66666666667
2024-04-05,0,Market,0,1,0,514179,580434,1542,617,25,1160,870,14,98.35667727315042,3710,582,66255,58767.0,-63414.333333333336
2024-04-06,0,Market,1,0,0,535589,517999,1606,642,26,1035,776,12,96.05190928602723,3705,697,-17590,-163180.0,-18578.333333333332
2024-04-07,0,Market,1,0,0,479412,436931,1438,575,23,873,655,10,97.25235558838132,3245,637,-42481,-184964.0,2061.3333333333335
2024-04-08,0,Market,0,0,0,439004,472941,1317,526,21,945,709,11,99.41466491786197,3115,529,33937,-120343.0,-8711.333333333334
2024-04-09,0,Market,0,0,0,416517,452941,1249,499,20,905,679,11,99.49438661938605,2975,525,36424,-87175.0,9293.333333333334
2024-04-10,0,Market,0,0,0,409798,455666,1229,491,20,911,683,11,95.89069970354822,2935,705,45868,-152098.0,38743.0
2024-04-11,0,Market,0,0,0,381158,491138,1143,457,19,982,736,12,95.06680210749413,2880,746,109980,-104400.0,64090.666666666664
2024-04-12,0,Market,0,0,0,342076,412441,1026,410,17,824,618,10,95.2637571130807,2520,736,70365,66255.0,75404.33333333333
2024-04-13,0,Market,1,0,0,445514,469754,1336,534,22,939,704,11,97.20797875132098,3155,639,24240,-17590.0,68195.0
2024-04-14,0,Market,1,0,0,521167,472322,1563,625,26,944,708,11,97.5368744785457,3540,623,-48845,-42481.0,15253.333333333334
2024-04-15,0,Market,0,0,0,399259,466144,1197,479,19,932,699,11,99.40591041865964,2905,529,66885,33937.0,14093.333333333334
2024-04-16,0,Market,0,0,0,412908,440292,1238,495,20,880,660,11,97.0831561745142,2930,645,27384,36424.0,15141.333333333334
2024-04-17,0,Market,0,0,0,395649,499282,1186,474,19,998,748,12,95.65700435905269,2965,717,103633,45868.0,65967.33333333333
2024-04-18,0,Market,0,0,0,408963,480604,1226,490,20,961,720,12,97.2307285779934,2985,638,71641,109980.0,67552.66666666667
2024-04-19,0,Market,0,0,0,400980,503903,1202,481,20,1007,755,12,96.52125655507692,3000,673,102923,70365.0,92732.33333333333
2024-04-20,0,Market,1,0,0,583352,443167,1750,700,29,886,664,11,95.49420994754506,3780,725,-140185,24240.0,11459.666666666666
2024-04-21,0,Market,1,0,0,585110,441201,1755,702,29,882,661,11,99.0593942013812,3805,547,-143909,-48845.0,-60390.333333333336
2024-04-22,0,Market,0,0,0,315044,454763,945,378,15,909,682,11,99.61132681517508,2475,519,139719,66885.0,-48125.0
2024-04-23,0,Market,0,0,0,413670,570056,1241,496,20,1140,855,14,95.93102490146526,3190,703,156386,27384.0,50732.0
2024-04-24,0,Market,0,0,0,364063,503612,1092,436,18,1007,755,12,95.88731378538415,2800,705,139549,103633.0,145218.0
2024-04-25,0,Market,0,0,0,347190,567910,1041,416,17,1135,851,14,95.66968055249797,2855,716,220720,71641.0,172218.33333333334
2024-04-26,0,Market,0,0,1,804919,457479,2414,965,40,914,686,11,99.24791554448235,4910,537,-347440,102923.0,4276.333333333333
2024-04-27,0,Market,1,0,0,397769,544985,1193,477,19,1089,817,13,95.78940538432146,3055,710,147216,-140185.0,6832.0
2024-04-28,0,Market,1,0,0,474502,539415,1423,569,23,1078,809,13,98.63296464034647,3420,568,64913,-143909.0,-45103.666666666664
2024-04-29,0,Market,0,0,0,400209,482255,1200,480,20,964,723,12,95.27617135058786,2960,736,82046,139719.0,98058.33333333333
2024-04-30,0,Market,0,1,0,534796,509896,1604,641,26,1019,764,12,99.35420292424253,3660,532,-24900,156386.0,40686.333333333336
2024-05-01,0,Market,0,1,0,566736,504693,1700,680,28,1009,757,12,96.64149657797071,3825,667,-62043,139549.0,-1632.3333333333333
2024-05-02,0,Market,0,1,0,474089,541328,1422,568,23,1082,811,13,96.642134022036,3430,667,67239,220720.0,-6568.0
2024-05-03,0,Market,0,1,0,646864,485552,1940,776,32,971,728,12,95.7390924984073,4195,713,-161312,-347440.0,-52038.666666666664
2024-05-04,0,Market,1,1,0,810482,564256,2431,972,40,1128,846,14,97.98258566893801,5170,600,-246226,147216.0,-113433.0
2024-05-05,0,Market,1,1,0,715369,545694,2146,858,35,1091,818,13,98.93517919245545,4665,553,-169675,64913.0,-192404.33333333334
2024-05-06,0,Market,0,0,0,442336,395580,1327,530,22,791,593,9,97.81262538988136,2990,609,-46756,82046.0,-154219.0
2024-05-07,0,Market,0,0,0,389223,514442,1167,467,19,1028,771,12,96.08173493629428,2945,695,125219,-24900.0,-30404.0
2024-05-08,0,Market,0,0,0,465144,413755,1395,558,23,827,620,10,95.25239688171179,3145,737,-51389,-62043.0,9024.666666666666
2024-05-09,0,Market,0,0,0,331864,477333,995,398,16,954,715,11,95.09983712357261,2600,745,145469,67239.0,73099.66666666667
